Name,Made,Fuel Type,Mileage,Gearbox,Engine,Power,Location,Price
Opel Frontera DTI Sport RS,2001-08,Dyzelinas,,Mechaninė,2.2,85,"Kaunas, Lietuva",1 450 €
Volkswagen Golf TDI Comfortline,2008-09,Dyzelinas,313 250 km,Mechaninė,1.9,77,"Vilnius, Lietuva",1 950 €
Volkswagen Passat TDI DPF Highline DSG,2007-06,Dyzelinas,273 000 km,Automatinė,2.0,103,"Vilnius, Lietuva",1 550 €
Citroen C4 Grand Picasso I,2007-01,Dyzelinas,228 635 km,Automatinė,2.0,100,"Kaunas, Lietuva",2 100 €
Opel Zafira CDTI Elegance,2006-11,Dyzelinas,265 000 km,Mechaninė,1.9,88,"Kaunas, Lietuva",1 999 €
Ford C-MAX TDCi Titanium,2010-09,Dyzelinas,,Mechaninė,1.8,85,"Kaunas, Lietuva",2 900 €
Mercedes-Benz C 320 W204 CDI Avantgarde,2007-07,Dyzelinas,378 662 km,Automatinė,3.0,165,"Kaišiadorys, Lietuva",6 000 €
Toyota Yaris,2018-09,Benzinas/Elektra,41 000 km,Automatinė,1.5,74,"Anykščiai, Lietuva",11 900 €
Opel Zafira CDTI Essentia EU5,2012-07,Dyzelinas,222 142 km,Mechaninė,1.7,92,"Klaipėda, Lietuva",3 400 €
Volkswagen Golf,2009-06,Dyzelinas,280 000 km,Mechaninė,1.9,77,"Klaipėda, Lietuva",3 600 €
Volkswagen Golf TSI,2017-01,Benzinas,123 356 km,Automatinė,1.8,125,"Vilnius, Lietuva",8 000 € + mokesčiai
Opel Zafira A,2001-07,Dyzelinas,,Mechaninė,2.0,84,"Alytus, Lietuva",550 €
Mitsubishi Carisma I 1800 GDI LX,1999-01,Benzinas,159 253 km,Mechaninė,1.8,92,"Klaipėda, Lietuva",950 €
Seat Altea XL,2008-11,Dyzelinas,301 251 km,Automatinė,1.9,77,"Klaipėda, Lietuva",3 450 €
BMW 320 i,2008-04,Benzinas,224 000 km,Mechaninė,2.0,125,"Vilnius, Lietuva",5 750 €
Opel Zafira,2003-06,Dyzelinas,320 000 km,Automatinė,2.0,74,"Kaunas, Lietuva",600 €
Volkswagen Golf IV,2002-03,Benzinas,,Mechaninė,1.6,77,"Mažeikiai, Lietuva",800 €
Renault Laguna II FL,2006-06,Dyzelinas,271 005 km,Mechaninė,1.9,88,"Tauragė, Lietuva",850 €
Volkswagen Passat,2002-06,Benzinas,336 000 km,Automatinė,2.0,85,"Talinas, Estija",1 199 €
Toyota Avensis D-4D,2006-10,Dyzelinas,277 000 km,Mechaninė,2.0,93,"Talinas, Estija",1 299 €
Volkswagen Golf,2001-06,Benzinas,,Mechaninė,1.8,,"Šiauliai, Lietuva",1 350 €
Audi A4,2003-09,Benzinas,354 000 km,Automatinė,2.4,125,"Talinas, Estija",1 399 €
Opel Astra,2005-01,Dyzelinas,248 000 km,Mechaninė,1.7,59,"Šiauliai, Lietuva",1 450 €
Opel Vectra CDTI Cosmo,2006-06,Dyzelinas,,Mechaninė,1.9,110,"Kretinga, Lietuva",1 450 €
Ford Focus,2006-12,Benzinas,123 000 km,Mechaninė,1.6,74,"Talinas, Estija",1 499 €
Suzuki Alto,2009-10,Benzinas,116 000 km,Mechaninė,1.0,50,"Talinas, Estija",1 499 €
Audi A2 TDI,2001-07,Dyzelinas,248 000 km,Mechaninė,1.4,55,"Talinas, Estija",1 499 €
Volvo V70,2005-07,Dyzelinas,464 000 km,Mechaninė,2.4,120,"Vilnius, Lietuva",1 500 €
Volvo V70 T Kinetic,2005-06,Benzinas,,Automatinė,2.5,154,"Vilnius, Lietuva",1 550 €
BMW 320 d Touring,2001-08,Dyzelinas,,Mechaninė,2.0,100,"Klaipėda, Lietuva",1 550 €
Volkswagen Passat B5 FL TDI Basis,2003-05,Dyzelinas,,Mechaninė,1.9,96,"Telšiai, Lietuva",1 630 €
Peugeot 107,2007-05,Benzinas,158 000 km,Automatinė,1.0,50,"Talinas, Estija",1 799 €
Ford S-Max,2007-11,Dyzelinas,,Mechaninė,2.0,103,"Klaipėda, Lietuva",1 999 €
Dodge Caliber,2008-02,Benzinas,144 000 km,Automatinė,2.0,115,"Talinas, Estija",1 999 €
Toyota Corolla Verso,2007-11,Dyzelinas,,Mechaninė,2.0,,"Klaipėda, Lietuva",2 150 €
Mercedes-Benz Viano CDI,2004-08,Dyzelinas,445 000 km,Automatinė,2.1,110,"Talinas, Estija",2 299 €
Volvo C30 D4,2007-04,Dyzelinas,251 000 km,Mechaninė,1.6,80,"Talinas, Estija",2 299 €
Chevrolet HHR,2006-09,Benzinas/Dujos,233 000 km,Automatinė,2.4,128,"Talinas, Estija",2 499 €
Volkswagen Touran TDI,2008-11,Dyzelinas,245 000 km,Mechaninė,1.9,77,"Talinas, Estija",2 499 €
Nissan X-Trail,2006-01,Benzinas,219 000 km,Automatinė,2.5,121,"Talinas, Estija",2 499 €
Mazda 3,2008-08,Benzinas,99 000 km,Mechaninė,1.6,77,"Talinas, Estija",2 499 €
Citroen C4,2011-11,Benzinas,189 000 km,Mechaninė,1.4,70,"Talinas, Estija",2 699 €
Honda CR-V,2005-06,Benzinas,363 000 km,Automatinė,2.0,110,"Talinas, Estija",2 799 €
Volkswagen Sharan,2004-09,Dyzelinas,410 000 km,Mechaninė,1.9,85,"Varėna, Lietuva",2 950 €
Volkswagen Eos,2006-01,Benzinas,150 123 km,Mechaninė,2.0,,"Klaipėda, Lietuva",2 999 €
Audi A6 TDI,2008-08,Dyzelinas,339 000 km,Automatinė,2.7,132,"Talinas, Estija",3 199 €
Subaru Forester,2001-08,Benzinas,,Automatinė,2.0,125,"Vilnius, Lietuva",3 200 €
Toyota Avensis II,2008-01,Benzinas,,Automatinė,1.8,95,"Kaunas, Lietuva",3 390 €
Audi A6 Allroad TDI,2006-12,Dyzelinas,332 000 km,Automatinė,3.0,171,"Talinas, Estija",3 499 €
Volkswagen Caddy,2013-06,Dyzelinas,250 936 km,Mechaninė,1.6,,"Kaunas, Lietuva",3 800 €
Mazda 6,2010-11,Dyzelinas,168 745 km,Mechaninė,2.2,136,"Kaunas, Lietuva",3 850 €
BMW X5 E53,2004-05,Dyzelinas,,Automatinė,3.0,135,"Radviliškis, Lietuva",3 900 €
Toyota Verso D4D,2010-01,Dyzelinas,353 500 km,Mechaninė,2.0,93,"Radviliškis, Lietuva",4 150 €
Volkswagen Jetta,2017-11,Benzinas,143 123 km,Mechaninė,1.4,110,"Klaipėda, Lietuva",9 999 €
Toyota Avensis,2018-04,Benzinas,80 000 km,Mechaninė,1.8,108,"Vilnius, Lietuva",12 950 €
Volkswagen Golf,2019-02,Benzinas,182 000 km,Automatinė,1.5,96,"Vilnius, Lietuva",13 450 €
Opel Vectra,2006-06,Dyzelinas,305 000 km,Mechaninė,1.9,88,"Plungė, Lietuva",1 050 €
Volkswagen Sharan,1997-03,Benzinas,,Mechaninė,2.0,85,"Kaunas, Lietuva",1 290 €
Ford Focus,2008-04,Dyzelinas,,Mechaninė,1.8,85,"Vilnius, Lietuva",1 400 €
Mazda 6 I CD Comfort,2007-08,Dyzelinas,246 000 km,Mechaninė,2.0,89,"Klaipėda, Lietuva",1 450 €
Volkswagen Passat B6 TDI Comfortline,2006-07,Dyzelinas,,Mechaninė,2.0,103,"Klaipėda, Lietuva",1 550 €
Toyota Auris,2008-10,Dyzelinas,,Mechaninė,2.0,93,"Vilnius, Lietuva",1 650 €
Volkswagen Golf,2002-12,Dyzelinas,246 000 km,Automatinė,1.9,96,"Marijampolė, Lietuva",1 699 €
Seat Altea,2007-06,Dyzelinas,,Mechaninė,2.0,103,"Radviliškis, Lietuva",1 800 €
Volkswagen Transporter T4 T4,1997-03,Benzinas,180 000 km,Mechaninė,2.0,62,"Ignalina, Lietuva",1 950 €
Volkswagen Touran,2005-04,Dyzelinas,298 000 km,Automatinė,2.0,103,"Šiauliai, Lietuva",2 100 €
Audi A6 FSI Quattro Tiptr.,2006-12,Benzinas,,Automatinė,3.1,188,"Klaipėda, Lietuva",2 299 €
Volkswagen Touran I TDI Highline DSG,2007-07,Dyzelinas,379 000 km,Automatinė,1.9,77,"Kaunas, Lietuva",2 490 €
Audi A3 8P TDI,2004-11,Dyzelinas,370 000 km,Mechaninė,2.0,103,"Kaunas, Lietuva",2 490 €
Citroen C5,2008-06,Dyzelinas,,Mechaninė,2.0,100,"Vilkaviškis, Lietuva",2 600 €
Mercedes-Benz Vito W639 05,2007-08,Dyzelinas,,Automatinė,2.1,85,"Telšiai, Lietuva",2 650 €
BMW 530 E60 d,2004-10,Dyzelinas,330 000 km,Automatinė,3.0,160,"Kaunas, Lietuva",2 690 €
Audi A6 TDI Quattro,2005-04,Dyzelinas,343 565 km,Automatinė,3.0,165,"Panevėžys, Lietuva",2 850 €
BMW 520,2005-04,Benzinas,300 000 km,Mechaninė,2.2,125,"Klaipėda, Lietuva",2 900 €
Chevrolet Captiva d LS,2007-03,Dyzelinas,262 km,Automatinė,2.0,110,"Kaunas, Lietuva",2 950 €
Opel Antara CDTI Enjoy,2009-08,Dyzelinas,,Automatinė,2.0,110,"Vilnius, Lietuva",3 750 €
BMW 320 E90 d,2007-10,Dyzelinas,350 000 km,Mechaninė,2.0,105,"Kaunas, Lietuva",3 790 €
Opel Insignia CDTI,2011-08,Dyzelinas,320 000 km,Automatinė,2.0,118,"Utena, Lietuva",3 850 €
Toyota Corolla Verso,2004-12,Benzinas,159 000 km,Automatinė,1.8,95,"Kretinga, Lietuva",3 985 €
Volvo XC70 D5 AWD Momentum,2007-05,Dyzelinas,297 500 km,Automatinė,2.4,136,"Vilnius, Lietuva",3 990 €
Skoda Octavia,2009-12,Benzinas/Dujos,248 000 km,Mechaninė,1.6,75,"Marijampolė, Lietuva",4 450 €
BMW 530 E60 xd Touring,2007-07,Dyzelinas,,Automatinė,3.0,173,"Kaunas, Lietuva",5 490 €
Audi A6,2011-07,Benzinas,188 000 km,Automatinė,2.0,125,"Šiauliai, Lietuva",5 650 €
Volkswagen Touran,2010-10,Dyzelinas,322 347 km,Mechaninė,1.6,77,"Kaunas, Lietuva",5 899 €
BMW 318 d,2012-12,Dyzelinas,310 000 km,Mechaninė,2.0,105,"Vilnius, Lietuva",6 950 €
BMW 530 F10 D M Sport,2011-01,Dyzelinas,330 000 km,Automatinė,3.0,180,"Vilnius, Lietuva",10 500 €
Ford Transit,2015-08,Dyzelinas,330 000 km,Mechaninė,2.2,,"Vilnius, Lietuva",12 800 €
Hyundai Tucson,2021-08,Benzinas/Elektra,14 650 km,Automatinė,1.6,110,"Vilnius, Lietuva",14 999 €
Volkswagen Tiguan,2019-01,Benzinas,4 300 km,Automatinė,2.0,140,"Vilnius, Lietuva",15 000 €
Audi A4,2005-01,Dyzelinas,,Mechaninė,2.5,120,"Vilnius, Lietuva",300 €
Volkswagen Golf III CL TD,1993-11,Dyzelinas,,Mechaninė,1.9,55,"Varėna, Lietuva",350 €
Renault Scenic,2007-08,Dyzelinas,,Mechaninė,1.9,96,"Marijampolė, Lietuva",375 €
Seat Alhambra,2001-01,Dyzelinas,338 000 km,Mechaninė,1.9,85,"Kaunas, Lietuva",500 €
Audi A4,1999-01,Benzinas,,Mechaninė,1.8,92,"Plungė, Lietuva",500 €
Ford Focus,2000-11,Dyzelinas,,Mechaninė,1.8,66,"Panevėžys, Lietuva",666 €
Volkswagen Golf IV TDI Basis,1999-09,Dyzelinas,,Mechaninė,1.9,66,"Panevėžys, Lietuva",730 €
Volkswagen Passat B5 TDI,1998-09,Dyzelinas,,Mechaninė,1.9,81,"Panevėžys, Lietuva",850 €
Opel Astra,2005-11,Dyzelinas,,Mechaninė,1.9,74,"Anykščiai, Lietuva",880 €
Volkswagen Passat B5 TDI,1998-01,Dyzelinas,326 000 km,Mechaninė,1.9,66,"Vilnius, Lietuva",950 €
Volkswagen Touran,2006-06,Dyzelinas,,Mechaninė,2.0,103,"Panevėžys, Lietuva",970 €
Skoda Octavia,2006-07,Dyzelinas,,Mechaninė,1.9,77,"Panevėžys, Lietuva",970 €
Opel Vectra,2003-02,Benzinas/Dujos,235 680 km,Mechaninė,2.2,108,"Mažeikiai, Lietuva",980 €
BMW 523 E39,1999-01,Benzinas/Dujos,,Mechaninė,2.5,,"Šiauliai, Lietuva",1 000 €
Citroen C4 II,2011-01,Dyzelinas,374 910 km,Mechaninė,1.6,66,"Vilnius, Lietuva",1 000 €
Mercedes-Benz A 160,2001-06,Benzinas,,Automatinė,1.6,75,"Klaipėda, Lietuva",1 050 €
Volkswagen Golf Basis aut,2000-05,Benzinas,,Automatinė,1.6,75,"Kėdainiai, Lietuva",1 100 €
BMW 318 E36 ti Compact,1999-11,Benzinas,,Mechaninė,1.8,103,"Vilkaviškis, Lietuva",1 150 €
BMW 530 E39 d Touring,2003-01,Dyzelinas,380 000 km,Mechaninė,2.9,142,"Tauragė, Lietuva",1 200 €
Audi A3 8L,1998-01,Dyzelinas,,Mechaninė,1.9,66,"Vilnius, Lietuva",1 200 €
Citroen C5 I HDi Exclusive,2004-04,Dyzelinas,284 000 km,Automatinė,2.0,101,"Kuršėnai, Lietuva",1 200 €
Volkswagen Passat B5 FL,2003-04,Dyzelinas,,Mechaninė,1.9,96,"Šilalė, Lietuva",1 250 €
Audi A4 B7 TDI,2006-05,Dyzelinas,,Mechaninė,2.0,103,"Tauragė, Lietuva",1 300 €
Citroen C4 Grand Picasso,2008-10,Dyzelinas,,Mechaninė,1.6,,"Klaipėda, Lietuva",1 350 €
Volkswagen Passat,2003-08,Dyzelinas,,Mechaninė,1.9,96,"Šilalė, Lietuva",1 350 €
Opel Zafira A,2004-04,Dyzelinas,227 000 km,Mechaninė,2.2,92,"Alytus, Lietuva",1 399 €
BMW 120,2009-01,Dyzelinas,,Mechaninė,2.0,,"Vilnius, Lietuva",1 400 €
BMW 320 d Touring,2005-01,Dyzelinas,300 000 km,Mechaninė,2.0,110,"Kėdainiai, Lietuva",1 450 €
Volkswagen Golf TDI,2005-06,Dyzelinas,252 800 km,Mechaninė,1.9,77,"Kaišiadorys, Lietuva",1 500 €
Volkswagen Passat B5 FL TDI Comfortline,2004-01,Dyzelinas,352 897 km,Mechaninė,1.9,96,"Vilnius, Lietuva",1 500 €
Volvo V50,2005-03,Dyzelinas,303 000 km,Mechaninė,1.6,80,"Plungė, Lietuva",1 500 €
Volvo S80,1999-01,Benzinas/Dujos,295 000 km,Mechaninė,2.9,150,"Šiauliai, Lietuva",1 500 €
Opel Insignia,2009-05,Dyzelinas,397 000 km,Mechaninė,2.0,96,"Kaunas, Lietuva",1 500 €
Volkswagen Passat B5 FL,2001-03,Dyzelinas,,Mechaninė,1.9,96,"Radviliškis, Lietuva",1 500 €
Renault Grand Scenic II,2009-01,Dyzelinas,305 000 km,Mechaninė,1.9,96,"Kaišiadorys, Lietuva",1 500 €
Volkswagen Passat TDI,2007-12,Dyzelinas,236 670 km,Mechaninė,2.0,125,"Kuršėnai, Lietuva",1 500 €
Opel Vectra C,2006-01,Dyzelinas,273 000 km,Mechaninė,1.9,110,"Utena, Lietuva",1 500 €
Toyota Avensis,2007-10,Dyzelinas,314 286 km,Mechaninė,2.2,130,"Vilnius, Lietuva",1 500 €
Audi A3 8P TDI Ambiente,2003-11,Dyzelinas,,Mechaninė,2.0,103,"Kaunas, Lietuva",1 550 €
Volkswagen Golf,2004-05,Dyzelinas,,Mechaninė,1.9,77,"Ukmergė, Lietuva",1 550 €
BMW 530 E39 d Touring,2002-07,Dyzelinas,374 658 km,Automatinė,2.9,142,"Rokiškis, Lietuva",1 550 €
Opel Vectra,2004-07,Benzinas,114 000 km,Mechaninė,2.2,114,"Telšiai, Lietuva",1 550 €
Volkswagen Passat TDI Basis,2003-12,Dyzelinas,2 500 km,Automatinė,1.9,74,"Pakruojis, Lietuva",1 550 €
Opel Astra,2003-06,Benzinas,200 000 km,Mechaninė,1.6,62,"Marijampolė, Lietuva",1 550 €
Honda Civic VI I-vtec,1997-12,Benzinas,400 000 km,Mechaninė,1.5,84,"Vilnius, Lietuva",1 590 €
Opel Vectra CDTI Elegance,2006-03,Dyzelinas,334 703 km,Mechaninė,1.9,110,"Kėdainiai, Lietuva",1 600 €
Volvo S60 I D5,2002-03,Dyzelinas,280 080 km,Automatinė,2.4,120,"Klaipėda, Lietuva",1 600 €
Audi A3 8P,2003-10,Dyzelinas,319 500 km,Mechaninė,2.0,103,"Kaunas, Lietuva",1 600 € + mokesčiai
Opel Vectra,2006-02,Dyzelinas,165 500 km,Mechaninė,1.9,110,"Kaunas, Lietuva",1 600 €
Citroen C4 I 16v SX aut,2005-05,Benzinas,216 000 km,Automatinė,1.6,81,"Vilnius, Lietuva",1 600 €
Volvo S60,2005-03,Dyzelinas,,Mechaninė,2.4,120,"Gargždai, Lietuva",1 600 €
Toyota Tercel 4WD,1986-01,Benzinas,332 700 km,Mechaninė,1.5,65,"Alytus, Lietuva",1 650 €
Subaru Forester,2009-05,Dyzelinas,242 000 km,Mechaninė,2.0,108,"Lazdijai, Lietuva",1 650 €
Volkswagen Golf V TDI,2007-01,Dyzelinas,323 000 km,Mechaninė,1.9,66,"Kaunas, Lietuva",1 700 €
BMW 330 E46,2002-01,Dyzelinas,,Automatinė,3.0,135,"Kretinga, Lietuva",1 700 €
Kia Opirus i V6 Luxury,2004-01,Benzinas,200 000 km,Automatinė,3.5,149,"Šalčininkai, Lietuva",1 700 €
Peugeot Boxer,2008-03,Dyzelinas,360 000 km,Mechaninė,2.2,88,"Klaipėda, Lietuva",1 700 €
Volvo V70 II,2003-03,Dyzelinas,352 400 km,Mechaninė,2.4,96,"Vilnius, Lietuva",1 700 €
Volkswagen Multivan,1992-07,Dyzelinas,354 570 km,Mechaninė,2.4,57,"Šakiai, Lietuva",1 700 €
Audi A4 B7 T FSI Quattro Tiptr.,2006-07,Benzinas,215 000 km,Automatinė,2.0,147,"Marijampolė, Lietuva",1 700 €
Seat Altea,2005-02,Dyzelinas,330 000 km,Mechaninė,2.0,103,"Alytus, Lietuva",1 750 €
Volkswagen Passat TDI Comfortline DSG,2006-09,Dyzelinas,,Automatinė,2.0,103,"Klaipėda, Lietuva",1 750 €
Audi A6,2004-12,Benzinas/Dujos,242 000 km,Mechaninė,1.8,110,"Panevėžys, Lietuva",1 750 €
Nissan Note,2007-02,Benzinas,116 023 km,Automatinė,1.6,,"Vilnius, Lietuva",1 750 €
BMW 320 E46 d,2002-01,Dyzelinas,308 000 km,Mechaninė,2.0,110,"Klaipėda, Lietuva",1 750 €
Opel Meriva I,2005-10,Dyzelinas,271 586 km,Mechaninė,1.7,,"Vilnius, Lietuva",1 799 €
BMW 318 E46 d,2003-01,Dyzelinas,398 492 km,Mechaninė,2.0,85,"Vilnius, Lietuva",1 799 €
Audi A6,2004-10,Dyzelinas,290 000 km,Mechaninė,2.5,120,"Marijampolė, Lietuva",1 800 €
Toyota Corolla Verso,2004-07,Dyzelinas,323 000 km,Mechaninė,2.0,85,"Ukmergė, Lietuva",1 800 €
Seat Altea,2005-12,Dyzelinas,221 459 km,Mechaninė,1.9,77,"Kaunas, Lietuva",1 800 €
Kia Cee'd I,2007-08,Benzinas,197 441 km,Mechaninė,1.4,77,"Kėdainiai, Lietuva",1 800 €
BMW 320 E46 d,2003-01,Dyzelinas,400 000 km,Automatinė,2.0,110,"Vilnius, Lietuva",1 800 €
Volkswagen Touran TDI Highline,2003-09,Dyzelinas,335 000 km,Mechaninė,2.0,100,"Kaunas, Lietuva",1 899 €
Audi A4 B6 TDI Multitronic,2002-11,Dyzelinas,352 600 km,Automatinė,2.5,120,"Rietavas, Lietuva",1 900 €
Audi A6 C5 TDI,2004-08,Dyzelinas,,Automatinė,1.9,96,"Vilnius, Lietuva",1 900 €
Toyota Yaris II D-4D Terra A/C,2007-07,Dyzelinas,219 000 km,Mechaninė,1.4,66,"Vilnius, Lietuva",1 900 €
Volkswagen Sharan TDI Comfortline,2002-01,Dyzelinas,303 000 km,Mechaninė,1.9,85,"Biržai, Lietuva",1 900 €
Volvo V70,2006-01,Dyzelinas,,Mechaninė,2.4,120,"Vilnius, Lietuva",1 950 €
BMW 318,2003-12,Dyzelinas,319 725 km,Mechaninė,2.0,85,"Kaunas, Lietuva",1 950 €
BMW 525 E39 d,2001-04,Dyzelinas,,Mechaninė,2.5,120,"Kaunas, Lietuva",1 990 €
Opel Signum,2008-07,Dyzelinas,316 000 km,Mechaninė,1.9,110,"Marijampolė, Lietuva",1 999 €
Volkswagen Golf,2007-05,Dyzelinas,,Mechaninė,1.9,77,"Marijampolė, Lietuva",1 999 €
BMW 320 i Touring,2006-06,Benzinas,206 199 km,Mechaninė,2.0,110,"Jonava, Lietuva",1 999 €
Audi A3,2008-05,Benzinas,258 517 km,Mechaninė,1.4,92,"Telšiai, Lietuva",1 999 €
Lada Niva,1990-09,Benzinas,24 000 km,Mechaninė,1.6,,"Šilalė, Lietuva",2 000 €
Volkswagen LT 35 TDI 2DH1B2,2004-02,Dyzelinas,422 486 km,Mechaninė,2.5,80,"Šiauliai, Lietuva",2 000 €
Volkswagen Passat TDI Comfortline DSG,2006-01,Dyzelinas,,Automatinė,2.0,103,"Širvintos, Lietuva",2 000 €
Volkswagen Passat B6 TDI DPF Comfortline,2007-01,Dyzelinas,310 000 km,Mechaninė,2.0,103,"Tauragė, Lietuva",2 000 €
Subaru Legacy i MT,2005-08,Benzinas/Dujos,,Mechaninė,2.5,101,"Šilalė, Lietuva",2 000 €
Audi A6 Allroad,2003-11,Dyzelinas,301 000 km,Mechaninė,2.5,132,"Kaunas, Lietuva",2 000 €
Audi A4 B6,2003-01,Benzinas/Dujos,215 000 km,Mechaninė,1.8,125,"Utena, Lietuva",2 000 €
BMW 330 d Touring,2003-06,Dyzelinas,365 047 km,Automatinė,3.0,150,"Kaunas, Lietuva",2 000 €
Peugeot 308,2008-08,Dyzelinas,381 000 km,Mechaninė,1.6,80,"Kaunas, Lietuva",2 000 €
Volkswagen Touran TDI,2003-01,Dyzelinas,,Mechaninė,1.9,74,"Šilutė, Lietuva",2 000 €
Volkswagen Touran TDI Basis,2003-08,Dyzelinas,395 212 km,Mechaninė,1.9,74,"Kaunas, Lietuva",2 030 €
Volkswagen Sharan,2003-02,Benzinas/Dujos,291 945 km,Mechaninė,2.0,85,"Šiauliai, Lietuva",2 100 €
Volkswagen Golf Plus,2005-09,Dyzelinas,355 000 km,Mechaninė,1.9,77,"Kretinga, Lietuva",2 100 €
Subaru OUTBACK,2002-01,Benzinas/Dujos,394 560 km,Automatinė,3.0,154,"Druskininkai, Lietuva",2 100 €
BMW 525,2005-09,Dyzelinas,410 000 km,Automatinė,2.5,130,"Šiauliai, Lietuva",2 100 €
BMW 520,2002-11,Dyzelinas,344 000 km,Mechaninė,2.0,100,"Švenčionys, Lietuva",2 190 €
Audi A4 B7 TDI Multitronic,2006-07,Dyzelinas,430 000 km,Automatinė,2.0,103,"Kaunas, Lietuva",2 200 €
Nissan Note I,2008-02,Dyzelinas,231 km,Mechaninė,1.5,63,"Vilnius, Lietuva",2 200 €
Audi A3,2002-10,Dyzelinas,371 218 km,Mechaninė,1.9,74,"Panevėžys, Lietuva",2 200 €
Volkswagen Transporter,1999-05,Dyzelinas,517 000 km,Mechaninė,1.9,,"Pagėgiai, Lietuva",2 200 €
Lexus IS 220,2006-03,Dyzelinas,378 210 km,Mechaninė,2.2,130,"Kaunas, Lietuva",2 200 €
Volkswagen Passat,2006-06,Dyzelinas,300 000 km,Mechaninė,2.0,103,"Jurbarkas, Lietuva",2 200 €
Chrysler Grand Voyager II,1998-12,Benzinas/Dujos,280 000 km,Automatinė,3.8,131,"Klaipėda, Lietuva",2 200 €
Ford Focus Trend,2008-03,Benzinas,197 000 km,Mechaninė,1.6,85,"Rokiškis, Lietuva",2 200 €
BMW 530 E60,2005-01,Dyzelinas,480 000 km,Automatinė,3.0,160,"Alytus, Lietuva",2 250 €
Volkswagen Passat,2007-01,Dyzelinas,,Automatinė,2.0,103,"Vilnius, Lietuva",2 250 €
Volkswagen Transporter TECH 2026. TDI,1996-03,Dyzelinas,349 000 km,Mechaninė,2.5,75,"Vilnius, Lietuva",2 250 €
Citroen C5,2008-09,Dyzelinas,330 000 km,Mechaninė,1.6,80,"Telšiai, Lietuva",2 250 €
Peugeot 308,2008-06,Benzinas/Dujos,205 711 km,Mechaninė,1.6,88,"Alytus, Lietuva",2 250 €
Subaru Impreza GD,2003-01,Benzinas/Dujos,299 000 km,Automatinė,2.0,92,"Vilnius, Lietuva",2 250 €
Volkswagen Passat B6,2007-01,Dyzelinas,215 000 km,Mechaninė,2.0,103,"Vilnius, Lietuva",2 250 €
Mercedes-Benz E 220 CDI Avantgarde,2006-01,Dyzelinas,,Automatinė,2.2,110,"Klaipėda, Lietuva",2 299 €
Opel Astra CDTI Elegance,2005-07,Dyzelinas,275 000 km,Mechaninė,1.9,110,"Klaipėda, Lietuva",2 299 €
Mercedes-Benz E 280 W211 Ilgai galiojanti TA,2006-06,Dyzelinas,,Automatinė,3.2,130,"Kaunas, Lietuva",2 300 €
BMW 525,2004-08,Benzinas,300 000 km,Automatinė,2.5,141,"Kėdainiai, Lietuva",2 300 €
Ford Mondeo Mk4,2008-01,Dyzelinas,,Mechaninė,2.0,103,"Šiauliai, Lietuva",2 300 €
Mercedes-Benz E 124,1993-01,Benzinas,292 000 km,Automatinė,2.6,118,"Marijampolė, Lietuva",2 300 €
Volkswagen Phaeton Tdi,2006-01,Dyzelinas,,Automatinė,3.0,165,"Kaunas, Lietuva",2 300 €
Volkswagen Sharan,2006-10,Dyzelinas,386 000 km,Mechaninė,1.9,85,"Kaunas, Lietuva",2 300 €
Mercedes-Benz C 200 T CDI Classic,2003-10,Dyzelinas,,Mechaninė,2.2,85,"Visaginas, Lietuva",2 300 €
Mitsubishi Outlander,2007-01,Benzinas/Dujos,357 000 km,Automatinė,2.4,118,"Kaunas, Lietuva",2 300 €
BMW 530 M57,2003-10,Dyzelinas,,Automatinė,3.0,142,"Klaipėda, Lietuva",2 300 €
Mercedes-Benz B 200 CDI,2005-06,Dyzelinas,348 000 km,Automatinė,2.0,103,"Panevėžys, Lietuva",2 300 €
Audi A4 B6 TDI Quattro,2003-01,Dyzelinas,,Mechaninė,1.9,96,"Ignalina, Lietuva",2 350 €
Toyota Yaris II,2007-11,Benzinas,189 000 km,Mechaninė,1.0,,"Kretinga, Lietuva",2 350 €
Renault Megane II,2005-01,Benzinas,171 000 km,Mechaninė,2.0,99,"Marijampolė, Lietuva",2 350 €
Volvo V70,2007-06,Dyzelinas,380 000 km,Mechaninė,2.4,120,"Kaunas, Lietuva",2 350 €
Mercedes-Benz ML 320,2003-05,Benzinas,300 000 km,Automatinė,3.2,,"Utena, Lietuva",2 350 €
Opel Zafira CDTI Cosmo,2006-05,Dyzelinas,351 800 km,Automatinė,1.9,110,"Marijampolė, Lietuva",2 400 €
Volvo V50 D,2009-11,Dyzelinas,339 900 km,Automatinė,2.0,100,"Kaunas, Lietuva",2 400 €
Audi A3,2004-09,Dyzelinas,276 504 km,Mechaninė,2.0,103,"Marijampolė, Lietuva",2 400 €
Volkswagen Passat B6 TDI DPF Highline DSG,2007-11,Dyzelinas,,Automatinė,2.0,125,"Alytus, Lietuva",2 450 €
Mercedes-Benz E 220 CDI Classic,2009-08,Dyzelinas,152 000 km,Automatinė,2.1,125,"Šiauliai, Lietuva",2 450 €
BMW 116,2006-07,Benzinas,230 000 km,Mechaninė,1.6,85,"Vilnius, Lietuva",2 450 €
BMW 730 d,2004-12,Dyzelinas,320 000 km,Automatinė,3.0,160,"Ariogala, Lietuva",2 450 €
Volkswagen Passat,2008-10,Dyzelinas,281 654 km,Mechaninė,1.9,77,"Kaišiadorys, Lietuva",2 450 €
