Name,Made,Fuel Type,Mileage,Gearbox,Engine,Power,Location,Price
Volkswagen Golf VI,2010-03,Dyzelinas,287 km,Mechaninė,1.6,77,"Pasvalys, Lietuva",4 500 €
Opel Astra,2011-07,Dyzelinas,160 000 km,Mechaninė,1.7,81,"Kaunas, Lietuva",4 550 €
Peugeot Partner HDi Presence Euro5,2011-08,Dyzelinas,273 712 km,Mechaninė,1.6,55,"Kretinga, Lietuva",4 550 €
Renault Megane III dCi GT-line,2013-11,Dyzelinas,227 000 km,Mechaninė,1.5,81,"Marijampolė, Lietuva",4 550 €
Audi A3 8P TDI Sportpaket Plus,2006-06,Dyzelinas,283 114 km,Automatinė,2.0,103,"Širvintos, Lietuva",4 550 €
Opel Zafira CDTI,2012-01,Dyzelinas,221 406 km,Mechaninė,1.7,92,"Kretinga, Lietuva",4 550 €
Kia Sportage,2010-06,Dyzelinas,195 088 km,Mechaninė,2.0,100,"Pakruojis, Lietuva",4 550 €
Volvo S80 D Executive aut,2008-09,Dyzelinas,305 356 km,Automatinė,2.4,120,"Vilnius, Lietuva",4 550 €
Volkswagen LT,2003-12,Dyzelinas,441 443 km,Mechaninė,2.5,80,"Jurbarkas, Lietuva",4 550 €
Peugeot Expert,2005-07,Dyzelinas,378 000 km,Mechaninė,2.0,69,"Kaunas, Lietuva",4 550 €
Renault Koleos,2010-11,Dyzelinas,217 000 km,Mechaninė,2.0,110,"Kaunas, Lietuva",4 550 €
Volvo V70,2009-07,Benzinas,232 000 km,Automatinė,2.0,107,"Klaipėda, Lietuva",4 600 €
Volkswagen Sharan,2008-10,Dyzelinas,241 000 km,Mechaninė,2.0,103,"Kaunas, Lietuva",4 600 €
Volkswagen Caddy tdi,2006-05,Dyzelinas,341 000 km,Automatinė,1.9,77,"Vilnius, Lietuva",4 600 €
Audi A6 TDI,2005-08,Dyzelinas,260 000 km,Mechaninė,2.7,132,"Kėdainiai, Lietuva",4 600 €
Volkswagen Golf V TDI DPF GT,2007-06,Dyzelinas,406 666 km,Automatinė,2.0,125,"Šiauliai, Lietuva",4 600 €
Opel Astra,2011-07,Dyzelinas,241 000 km,Mechaninė,1.7,92,"Kretinga, Lietuva",4 600 €
Opel Astra,2011-08,Dyzelinas,225 000 km,Mechaninė,2.0,118,"Kretinga, Lietuva",4 600 €
Opel Insignia,2011-08,Dyzelinas,275 000 km,Mechaninė,2.0,96,"Kretinga, Lietuva",4 600 €
Ford Escape,2010-07,Benzinas/Dujos,262 100 km,Automatinė,2.5,129,"Vilnius, Lietuva",4 600 €
Lexus RX 300,2004-12,Benzinas/Dujos,280 000 km,Mechaninė,3.0,,"Šiauliai, Lietuva",4 600 €
Opel Insignia,2011-06,Dyzelinas,210 500 km,Mechaninė,2.0,96,"Šakiai, Lietuva",4 600 €
Volkswagen Golf Tdi,2009-11,Dyzelinas,366 000 km,Mechaninė,1.6,77,"Kaunas, Lietuva",4 600 €
BMW X5 E53,2003-12,Dyzelinas,267 000 km,Automatinė,3.0,135,"Vilnius, Lietuva",4 600 €
Volkswagen Passat TDI Trendline,2013-12,Dyzelinas,226 554 km,Mechaninė,1.6,77,"Telšiai, Lietuva",4 600 €
Toyota RAV4,2006-07,Dyzelinas,335 000 km,Mechaninė,2.2,100,"Klaipėda, Lietuva",4 600 €
Audi A6 C6,2008-01,Dyzelinas,322 260 km,Mechaninė,2.0,100,"Vilnius, Lietuva",4 600 €
Audi A4,2008-12,Dyzelinas,,Mechaninė,2.0,105,"Šakiai, Lietuva",4 600 €
